COD_ID_PRODUTO,DES_PRODUTO,total_desconto
101144,BISCOITO PARATI MARIA EMBALAGEM ECONOMICA 740G,10523.50
81617,BEBIDA LACTEA BIOLAT MORANGO 900G,10468.22
65487,BEBIDA ENERGETICA MONSTER 473ML LT GREEN,10452.53
103531,LAVA ROUPA TIXAN YPE 4KG PRIMAVERA CONC,10439.07
94127,GIN INTENCION VD 900ML,10107.36
88159,P?O DE ALHO ZINHO BAGUETE PICANTE 300G,10043.99
96809,"ACAI POLPA NORTE 1,5L CONG",10026.66
99825,OLEO DE SOJA VITALIV PET 900ML,9963.77
98842,BEBIDA ENERGETICA BALY 473ML TRAD,9892.86
91532,CARNE BOV BEST KG FIL COST ENTRECOT RESF,9721.08
70733,"LIMPADOR UAU PERFUMES DE LAVANDA LV 2L PAGUE 1,6L",9633.18
75378,PANETTONE FESTTONE 400G FRUT,9548.02
64044,LING CALABRESA SEARA 400G,9516.52
3178,CAFE MELITTA TRADICIONAL 500G,9488.71
95675,PAO QUEIJO BAO DE MINAS 1KG TRADICIONAL,9455.48
68173,"SALSICHA HOT DOG PERDIGAO SEM CORANTE 2,8KG",9142.08
3988,REFRIG COCA COLA 350ML LT,9036.58
106171,LING SUINA SEARA 600G CHURRASCO CHIMICHURRI,8981.76
1743,FARINHA DE TRIGO SANANDUVA 5KG,8980.50
92393,LING CALABRESA SEARA 215G DEF FININHA,8823.37
102785,WAFER GIRASSOL DE MORANGO 60G,8811.25
77866,VODKA INTENCION 900ML VIDRO,8659.69
2724,REFRIG SARANDI 340ML LT GUARANA,8582.86
92935,"AMACIANTE COMFORT CONC PURO CUIDADO 1,5L",8556.43
211,LARANJA SUCO KG,8556.21
101921,WHISKY GRAND OLD PARR 750ML BLENDED ESC 12 ANOS,8511.99
76047,DES REXONA 200ML AERO MASC EMB ECON ACTIVE DRY,8495.72
94848,LEITE LATVIDA 1L UHT DESNAT,8494.87
80317,"LAVA ROUPAS AQUAFAST MULTIACAO LEVE 3L PG 2,6L",8471.15
59162,"AMACIANTE DOWNY BRISA VERAO 1,5L",8431.26
103097,QUEIJO DOM MIRO MUSSARELA FARIADO 1KG,8314.08
8378,,8220.92
60356,ESPONJA BRILHUS L4 P3 MULTIUSO,8187.48
96946,MASSA NORDESTE 500G C/O PENNE,7986.40
103869,ESPUMANTE COSTA REAL 750ML BRUT ROSE,7965.35
72095,ACUCAR CARAVELAS REFINADO 1KG,7908.80
105882,REFRIG PEPITA 2L GUAR,7760.69
82896,FILE PEIXE RIO VIVO 400G TILAPIA,7749.24
28331,"REFRIG COCA COLA 1,5L PET",7737.00
96947,MASSA NORDESTE 500G C/O RIGATONI,7678.91
8866,ACUCAR UNIAO 1KG REF,7428.79
104033,CERV ORIGINAL 473ML,7424.19
70617,"AMACIANTE DOWNY LIRIOS CAMPO 1,5L",7400.08
97160,BOMBOM NEUGEBAUER 900G AMOR CARIOCA BRANCO,7398.45
105685,ARROZ SAFRA 5KG PARB TP1,7162.09
100509,CERVEJA PROVINCIA LAGER LEVE 473ML,7099.21
70734,"LIMPADOR UAU PERFUMES FLORES VERMELHAS LV 2L PAGUE 1,6L",7045.36
104516,MISTURA DE REQUEIJ?O COM AMIDO CAROLINA CREMOSO 400G,6980.00
3358,ICE SMIRNOFF 275ML RED,6974.43
105259,SOBRECOXA FGO LANGUIRU 800G IQF CONG,6931.39
104464,BEBIDA ENERGETICA BALY DAS GALAXIAS DE MORANGO E PESSEGO 2L,6693.85
102784,WAFER GIRASSOL DE LIM?O 60G,6628.53
82533,AMACIANTE GIRANDO SOL CONCENTRADO AZUL DOCES SONHOS 1L,6603.80
98847,BEBIDA ENERGETICA BALY 2L MACA VERDE,6580.86
4487,CAFE NESCAFE 200G MATINAL,6546.43
96207,"MILHO BONARE 1,7KG",6480.18
76044,DESODOR REXONA 120G AERO POWDER DRY,6464.98
40843,KETCHUP TRADICIONAL HEMMER 1KG,6445.98
105993,"REFRESCO FRUKITO 1,5L S/ACUC FRUT CITRICA",6335.71
104411,AMENDOIM BRANCO FRITZ E FRIDA PREMIUM 400G,6313.50
62881,REFRESCO APTI 25G PO LARANJA,6287.26
78074,REFRIG COCA COLA 200ML PET,6253.14
105929,ALMONDEGA MISTA CHULETAO 1KG BOV FGO CONG,6182.41
105883,REFRIG PEPITA 2L LARAN,6048.06
3153,FILTRADO GOTAS DOR 660ML ROSE,6040.07
11747,AGUA MIN PEDRA 500ML C/GAS,6002.87
78885,DESINFETANTE AQUAFAST CAMPOS LAVANDO 2L,5973.82
71397,COXINHA ASA FRANGOSUL IQF 1KG,5940.87
11487,OLEO GIRASSOL SALADA PET 900ML,5925.07
6967,BEBIDA ENERGETICA RED BULL 250ML SUGARFREE,5907.16
25467,PAO FRANCES SUPERPAN KG,5875.69
91948,"VODKA SMIRNOFF 1,750L RED",5843.00
91157,AGUA MIN FONTE MATA 500ML C/GAS,5828.08
7693,PIPOCA PREMIUM YOKI 500G,5788.39
26861,BEBIDA LACTEA BIOLAT 540G MORANGO,5752.66
5812,MAIONESE LIZA CASEIRA 430G SACHE,5751.99
104722,FILEZINHO DE FRANGO SASSAMI MACEDO IQF CONGELADO 1KG,5748.00
103086,AMACIANTE GIRANDO SOL DE COCO E BAUNILHA NUTRI E PROTEGE 1 LITRO,5736.35
104879,MEIO DA ASA DE FRANGO TULIPA SADIA CONGELADO 1KG,5631.96
105928,ALMONDEGA BOV CHULETAO 1KG CONG,5621.21
52242,OVOS DE CODORNA JUREIA EM CONSERVA 300G,5605.23
96570,DESINFETANTE AQUAFAST 2L PAIX?O,5588.12
21447,HAMBURGUER MISTO SEARA 112G C/2 TEXAS BURGER,5572.95
77129,PAPEL HIG FOFINHO 30M L16 P15,5556.16
104706,PRESUNTO SEARA 180G COZ FAT,5538.64
76310,GIN TANQUERAY 750ML,5522.92
104299,PIZZA TOSCANA DE SABOR TOSCANA CONGELADA 600G,5430.00
80433,HAMBURGUER CHULETAO 180G CONG BOVINO,5403.01
101206,CERVEJA EISENBAHN PILSEN PURO MALTE 473ML,5387.72
8393,MORTADELA EXCELSIOR 1KG C/TOUC FAT,5382.61
8426,MORTADELA EXCELSIOR 1KG S/TOUCINHO FAT,5259.53
88430,AMACIANTE YPE 7L PRO ROUP TECIDO,5256.62
93332,DES REXONA 200ML AERO FEM TAM ECON FRUT VERM,5213.21
100111,"AMACIANTE DE ROUPA COMFORT CONCENTRADO FIBER PROTECT 1,5L",5213.21
81618,BEBIDA LACTEA BIOLAT SALADA DE FRUTAS 900G,5207.74
105103,GIN GORDONS 700ML LONDON DRY PREM PINK,5200.00
98575,PAO LAGO PAO 800G HOT DOG,5172.88
103240,ACAI POLPA NORTE COM GUARANA 5KG,5172.34
65754,*SOBRECOXA SEARA 1KG IQF,5159.30
7355,TEMPERO KITANO 60G MAIS SABOR CARNE/LEG/ARROZ,5150.51
36954,FAROFA APTI 250G TEMP TRAD,5143.51
62883,REFRESCO APTI 25G PO ABACAXI,5132.41
76066,DESODOR REXONA 120G AERO V8,5111.72
4909,LEITE COND MOCA 395G T. PACK,5107.75
