COD_ID_PRODUTO,DES_PRODUTO,total_vendido
65487,BEBIDA ENERGETICA MONSTER 473ML LT GREEN,53968.00
105880,REFRIG TROPHY 250ML LARAN,53631.00
94950,WAFER ISABELA 100G CHOCOLATE,52677.00
55760,CERV HEINEKEN 250ML LONG NECK,52597.00
102784,WAFER GIRASSOL DE LIM?O 60G,52253.00
96504,WAFER ISABELA CHOCOLATE BRANCO 100G,52194.00
88303,CHOC NEUGEBAUER 90G 40% CACAU M AMA,51969.00
3977,REFRIG COCA COLA 2L PET ZERO,51607.00
66,AMEIXA NACIONAL KG,51487.25
103132,DETERG LOUCA GIRANDO SOL 500ML NEUTRO,51391.00
998,CARNE BOV 500G MOIDA 2A CONG,51069.00
40102,BATATA BEM 2KG,50104.00
221,MACA FUJI KG,49969.80
64553,REFRESCO FRISCO 25G LIMAO,49653.00
103103,DUETO FUGINI 170G SC MILHO/ERVILHA,49546.00
104674,MOLHO DE TOMATE BONARE TRADICIONAL 300G,49314.00
27348,GUARDANAPO SORELLA 22X23 C/50,49106.00
105882,REFRIG PEPITA 2L GUAR,48988.00
105741,SAL SOUTO 1KG IODADO MOID,48937.00
6338,MACARRAO MIOJO NISSIN 85G LAMEN TDM GALINHA,48713.00
28331,"REFRIG COCA COLA 1,5L PET",48548.00
103284,CERV STELLA ARTOIS 330ML PREM PURO MALTE L NECK,48490.00
91646,SABONETE REXONA 84G BARRA ANTIB LIMP PROF,48252.00
88302,CHOCOLATE NEUGEBAUER AO LEITE 90G,47522.00
105259,SOBRECOXA FGO LANGUIRU 800G IQF CONG,47438.00
85,BETERRABA KG,47365.00
3178,CAFE MELITTA TRADICIONAL 500G,47097.00
60937,PAO DE SANDUICHE FATIADO LAGO PAO 400G,47045.00
13773,"REGRIGERANTE GUARANA ANTARTICA 1,5L",47042.00
105269,REFRESCO TANG 18G GUAR,46846.00
82899,QUEIJO FRIOLACK 1KG MUSSARELA FAT,46628.00
102298,BOMBOM LACTA SORTIDO COM 11 UNIDADES SONHO DE VALSA E OURO BRANCO 220G,46201.00
2813,AGUA MIN FLORESTA 5L PET S/GAS,46157.00
35615,SABONETE REXONA 84G BARRA ANTIBAC FRESH,45875.00
91815,CARNE BOV ANSELMI KG ACEM VACUO RESF,45771.31
90074,"BOMBOM LACTA 250,6G FAVORITOS",45428.00
105446,GELATINA APTI DE ABACAXI 20G,45198.00
102824,AGUA SANITARIA PAMPA CHEMICAL 5 LITROS,45091.00
105872,CERV SPATEN 473ML MUNICH PURO MALTE,44918.00
5535,LEITE LONGA VIDA NINHO INTEGRAL 1 L,44911.00
3994,REFRIG COCA COLA 350ML LT ZERO,44798.00
7355,TEMPERO KITANO 60G MAIS SABOR CARNE/LEG/ARROZ,44480.00
101735,CERVEJA SPATEN PURO MALTE 350ML,44471.00
1066,PEITO FRANGO KG CONG C OSSO,44415.46
88301,CHOCOLATE NEUGEBAUER AMENDOIM 90G,44332.00
77952,"REFRIG FRUKI 1,5L GUARANA PET REGULAR",43955.00
3176,CAFE BOM JESUS 500G VACUO TORRADO E MOIDO CAIXA TRADICIONAL,43937.00
105883,REFRIG PEPITA 2L LARAN,43879.00
7693,PIPOCA PREMIUM YOKI 500G,43594.00
3228,ESPUMANTE AURORA 750ML MOSC,43566.00
92628,PESSEGO MARIZA 450G CALDA METADE,43488.00
3825,AGUA SANITARIA QBOA 1L,43387.00
25467,PAO FRANCES SUPERPAN KG,43175.03
376,,43011.29
100104,CERV PETRA 473ML ORIGEM PURO MALTE,42969.00
105445,GELATINA APTI DE UVA 20G,42943.00
105879,REFRIG TROPHY 250ML UVA,42805.00
105206,SABONETE HIDRATANTE NIPS DE FRUTAS VERMELHAS 85G,42741.00
94849,LEITE LATVIDA 1L UHT SEMIDESNATADO,42590.00
96948,MASSA NORDESTE 500G C/O PARAF,42526.00
95899,CHOCOLATE NEUGEBAUER PRETO/BRANCO 90G,42504.00
72881,SAL ZIZO 1KG REFINADO IODADO,42425.00
100021,DETERG LOUCA BRILHA SUL 500ML NEUTRO,42059.00
11524,CERV BRAHMA CHOPP 350ML LT,42044.00
71397,COXINHA ASA FRANGOSUL IQF 1KG,41875.00
1046,COXA SOBRECOXA FGO KG CONG,41642.53
5812,MAIONESE LIZA CASEIRA 430G SACHE,41598.00
105271,REFRESCO TANG 18G TANGERINA,41479.00
1200,AVE BRUSTER KG TEMPERADO LEBON,41355.87
37682,REFRIG FRUKI 350ML LT GUARANA,41261.00
101402,DOCE DE LEITE MU-MU 350G,41085.00
36922,MISTURA PARA BOLO APTI CHOCOLATE 400G,41056.00
5564,ARROZ BLUE VILLE 1KG BCO TP1,41002.00
105753,AGUA MIN MORMAII 510ML S/GAS,40546.00
11806,AGUA MIN CRISTAL TERRA 500ML C/GAS,40525.00
89705,REFRIG SUKITA 200ML LARANJA,40459.00
5571,ARROZ BLUE VILLE 5KG BRANCO,40042.00
70954,PAPEL HIG CAMERATTA 30M C/12 F DUP,40019.00
102831,WAFER ISABELA DE DOCE DE LEITE 100G,39935.00
105449,GELATINA APTI 20G FRAMB,39821.00
11689,REFRIG SUKITA 2L PET LARANJA,39517.00
16076,UVA COMUM KG,39208.22
105881,REFRIG TROPHY 250ML LIMAO,39084.00
96216,SALG ELMA CHIPS 45G CHEETOS ONDA REQUEIJAO,39060.00
105440,CERVEJA BUDWEISER ZERO ALCOOL 350ML,38659.00
